year,team,conference,wins,losses,bowl_game,average_attendance,total_revenue,total_expense
2018,Florida Atlantic,Conference USA,5.0,7.0,False,25908.916666666668,35275379.0,35149886.0
2019,Florida Atlantic,Conference USA,11.0,3.0,True,22604.30769230769,36297004.0,35846033.0
2020,Florida Atlantic,Conference USA,5.0,4.0,True,5558.571428571428,40113869.0,37393763.0
2021,Florida Atlantic,Conference USA,5.0,7.0,False,23489.83333333333,33610768.0,32472125.0
2022,Florida Atlantic,Conference USA,5.0,7.0,False,21840.090909090908,39201524.0,38132721.0
2023,Florida Atlantic,American Athletic,4.0,8.0,False,27874.9,44684229.0,42642154.0
2005,Florida International,Sun Belt,5.0,6.0,False,2894.0,14431410.0,13463158.0
2006,Florida International,Sun Belt,0.0,12.0,False,28007.25,16096529.0,15200636.0
2007,Florida International,Sun Belt,1.0,11.0,False,27344.25,16985520.0,17977244.0
2008,Florida International,Sun Belt,5.0,7.0,False,24405.916666666668,20230654.0,18475489.0
2009,Florida International,Sun Belt,3.0,9.0,False,0.0,21270047.0,21801110.0
2010,Florida International,Sun Belt,7.0,6.0,True,0.0,22004418.0,22509591.0
2011,Florida International,Sun Belt,8.0,5.0,True,0.0,23849954.0,24606141.0
2012,Florida International,Sun Belt,3.0,9.0,False,18267.08333333333,25201564.0,27428271.0
2013,Florida International,Conference USA,1.0,11.0,False,21628.5,28332261.0,26275579.0
2014,Florida International,Conference USA,4.0,8.0,False,14343.416666666666,28104062.0,27542910.0
2015,Florida International,Conference USA,5.0,7.0,False,20613.83333333333,28613452.0,30483759.0
2016,Florida International,Conference USA,4.0,8.0,False,16159.583333333334,29370443.0,27760735.0
2017,Florida International,Conference USA,8.0,5.0,True,18050.5,33389929.0,33003699.0
2018,Florida International,Conference USA,9.0,4.0,True,19519.75,35631959.0,36189130.0
2019,Florida International,Conference USA,6.0,7.0,True,15952.916666666666,37018133.0,35374928.0
2020,Florida International,Conference USA,0.0,5.0,False,1917.8,37417121.0,35508185.0
2021,Florida International,Conference USA,1.0,11.0,False,15815.444444444443,38476796.0,28752899.0
2022,Florida International,Conference USA,4.0,8.0,False,14368.555555555557,41043885.0,39433624.0
2023,Florida International,Conference USA,4.0,8.0,False,18339.916666666668,42818447.0,45274382.0
2005,Florida State,ACC,8.0,5.0,True,12658.416666666666,56576933.0,56412748.0
2006,Florida State,ACC,7.0,6.0,True,70101.33333333333,67012792.0,59512089.0
2007,Florida State,ACC,7.0,6.0,True,71184.83333333333,77257845.0,67843586.0
2008,Florida State,ACC,9.0,4.0,True,68338.83333333333,73458494.0,65583105.0
2009,Florida State,ACC,7.0,6.0,True,0.0,74417324.0,78528151.0
2010,Florida State,ACC,10.0,4.0,True,0.0,74402269.0,75209181.0
2011,Florida State,ACC,9.0,4.0,True,0.0,78575788.0,86949804.0
2012,Florida State,ACC,12.0,2.0,True,68656.53846153847,100049444.0,90278878.0
2013,Florida State,ACC,14.0,0.0,True,69693.61538461539,91382441.0,84772759.0
2014,Florida State,ACC,13.0,1.0,True,71894.53846153847,104774474.0,98866182.0
2015,Florida State,ACC,10.0,3.0,True,67437.33333333333,120822522.0,111386681.0
2016,Florida State,ACC,10.0,3.0,True,61274.083333333336,113754314.0,115631800.0
2017,Florida State,ACC,7.0,6.0,True,64648.333333333336,144514413.0,156551818.0
2018,Florida State,ACC,5.0,7.0,False,64081.66666666666,168177850.0,158375459.0
2019,Florida State,ACC,6.0,7.0,True,55663.75,152757883.0,150147316.0
2020,Florida State,ACC,3.0,6.0,False,13255.0,129481351.0,155656855.0
2021,Florida State,ACC,5.0,7.0,False,57172.833333333336,129743001.0,121923106.0
2022,Florida State,ACC,10.0,3.0,True,62829.75,161141884.0,150777734.0
2023,Florida State,ACC,13.0,1.0,True,69390.69230769231,169558790.0,172130700.0
2005,Fresno State,Western Athletic,8.0,5.0,True,3179.6666666666665,26691142.0,25350352.0
2006,Fresno State,Western Athletic,4.0,8.0,False,37898.16666666666,27096524.0,25634086.0
2007,Fresno State,Western Athletic,9.0,4.0,True,36741.0,26646547.0,25871953.0
2008,Fresno State,Western Athletic,7.0,6.0,True,34754.333333333336,27530567.0,28856248.0
2009,Fresno State,Western Athletic,8.0,5.0,True,0.0,29833531.0,28645243.0
2010,Fresno State,Western Athletic,8.0,5.0,True,0.0,26648661.0,26690524.0
2011,Fresno State,Western Athletic,4.0,9.0,False,0.0,30190480.0,28838967.0
2012,Fresno State,Mountain West,9.0,4.0,True,30749.58333333333,30724143.0,30174803.0
2013,Fresno State,Mountain West,11.0,2.0,True,31158.33333333333,33734773.0,33050314.0
2014,Fresno State,Mountain West,6.0,8.0,True,34624.307692307695,36038183.0,36436560.0
2015,Fresno State,Mountain West,3.0,9.0,False,31749.33333333333,39073736.0,41535096.0
2016,Fresno State,Mountain West,1.0,11.0,False,28402.33333333333,44804147.0,44055912.0
2017,Fresno State,Mountain West,10.0,4.0,True,31347.76923076923,46215249.0,44119522.0
2018,Fresno State,Mountain West,12.0,2.0,True,30176.46153846154,50636750.0,51050676.0
2019,Fresno State,Mountain West,4.0,8.0,False,28318.666666666668,49772999.0,50079039.0
2020,Fresno State,Mountain West,3.0,3.0,False,383.3333333333333,47276450.0,48106185.0
2021,Fresno State,Mountain West,10.0,3.0,True,28387.58333333333,29582635.0,36237555.0
2022,Fresno State,Mountain West,10.0,4.0,True,33430.07692307692,54124579.0,46515828.0
2023,Fresno State,Mountain West,9.0,4.0,True,35012.583333333336,48938712.0,51738485.0
2005,Georgia,SEC,10.0,3.0,True,14770.583333333334,68787384.0,44933055.0
2006,Georgia,SEC,9.0,4.0,True,85255.16666666667,79237929.0,62228597.0
2007,Georgia,SEC,11.0,2.0,True,70180.33333333333,78364621.0,64153697.0
2008,Georgia,SEC,10.0,3.0,True,87397.08333333333,85554395.0,71993533.0
2009,Georgia,SEC,8.0,5.0,True,0.0,83507796.0,78573518.0
2010,Georgia,SEC,6.0,7.0,True,0.0,89735934.0,77250831.0
2011,Georgia,SEC,10.0,4.0,True,0.0,92341067.0,80759498.0
2012,Georgia,SEC,12.0,2.0,True,85084.0,91670613.0,88923561.0
2013,Georgia,SEC,8.0,5.0,True,84180.75,98120889.0,96904626.0
2014,Georgia,SEC,10.0,3.0,True,75832.58333333333,103495587.0,92560956.0
2015,Georgia,SEC,10.0,3.0,True,84661.75,116151279.0,98346538.0
2016,Georgia,SEC,8.0,5.0,True,81602.58333333333,123841268.0,117400502.0
2017,Georgia,SEC,13.0,2.0,True,82763.61538461539,157852479.0,120445486.0
2018,Georgia,SEC,11.0,3.0,True,86008.76923076923,176699893.0,134965406.0
2019,Georgia,SEC,12.0,2.0,True,83397.76923076923,174042482.0,144790704.0
2020,Georgia,SEC,8.0,2.0,True,17331.11111111111,179295904.0,140529409.0
2021,Georgia,SEC,14.0,1.0,True,81334.07692307692,169064656.0,124113714.0
2022,Georgia,SEC,15.0,0.0,True,80107.30769230769,203048566.0,169995701.0
2023,Georgia,SEC,13.0,1.0,True,82592.15384615384,210108069.0,187486671.0
2005,Georgia Southern,Southern,8.0,4.0,False,,8790105.0,8803187.0
2006,Georgia Southern,Southern,3.0,8.0,False,,9425472.0,9458911.0
2007,Georgia Southern,Southern,7.0,4.0,False,14332.0,9289002.0,9069380.0
2008,Georgia Southern,Southern,6.0,5.0,False,92746.0,9351898.0,9346897.0
2009,Georgia Southern,Southern,5.0,6.0,False,0.0,9742203.0,9525178.0
2010,Georgia Southern,Southern,9.0,4.0,False,0.0,10325261.0,10174594.0
2011,Georgia Southern,Southern,10.0,2.0,False,0.0,11245505.0,11212578.0
2012,Georgia Southern,Southern,9.0,3.0,False,92746.0,11335102.0,11335102.0
2013,Georgia Southern,Southern,7.0,4.0,False,82459.0,13200750.0,13200750.0
2014,Georgia Southern,Sun Belt,9.0,3.0,False,26137.75,18929350.0,18109721.0
2015,Georgia Southern,Sun Belt,9.0,4.0,True,27683.75,21144354.0,20172581.0
2016,Georgia Southern,Sun Belt,5.0,7.0,False,23372.0,30281201.0,29080388.0
2017,Georgia Southern,Sun Belt,2.0,10.0,False,23445.416666666668,28895052.0,28761605.0
2018,Georgia Southern,Sun Belt,10.0,3.0,True,20098.916666666668,31696141.0,31181439.0
2019,Georgia Southern,Sun Belt,7.0,6.0,True,25121.83333333333,29483912.0,29504873.0
2020,Georgia Southern,Sun Belt,8.0,5.0,True,5026.166666666667,29077794.0,29099661.0
2021,Georgia Southern,Sun Belt,3.0,9.0,False,22502.416666666668,28954190.0,28954190.0
2022,Georgia Southern,Sun Belt,6.0,7.0,True,24617.727272727272,30700262.0,30700262.0
2023,Georgia Southern,Sun Belt,6.0,7.0,True,25694.166666666668,35614506.0,35614506.0
2005,Georgia State,,,,,,6693070.0,7127697.0
2006,Georgia State,,,,,,7915773.0,8571384.0
2007,Georgia State,,,,,,10759040.0,10757078.0
2008,Georgia State,,,,,,12257382.0,10794774.0
2009,Georgia State,,,,,,16046751.0,13533032.0
2010,Georgia State,FCS Independents,6.0,4.0,False,0.0,19534366.0,17195830.0
2011,Georgia State,FCS Independents,3.0,8.0,False,0.0,22895575.0,23135282.0
2012,Georgia State,CAA,1.0,10.0,False,49658.5,24540533.0,25943332.0
2013,Georgia State,Sun Belt,0.0,12.0,False,24629.5,26721964.0,27261115.0
2014,Georgia State,Sun Belt,1.0,11.0,False,25744.25,27093316.0,27488640.0
2015,Georgia State,Sun Belt,6.0,7.0,True,17380.083333333332,28982441.0,27586906.0
2016,Georgia State,Sun Belt,3.0,9.0,False,22181.25,28094321.0,28077647.0
2017,Georgia State,Sun Belt,7.0,5.0,True,23113.272727272728,30230203.0,29859420.0
2018,Georgia State,Sun Belt,2.0,10.0,False,21810.416666666668,39546233.0,32629661.0
2019,Georgia State,Sun Belt,7.0,6.0,True,22698.916666666668,35546650.0,38399491.0
2020,Georgia State,Sun Belt,6.0,4.0,True,4872.777777777777,32152497.0,34058748.0
2021,Georgia State,Sun Belt,8.0,5.0,True,24008.33333333333,30481854.0,32064332.0
2022,Georgia State,Sun Belt,4.0,8.0,False,24296.33333333333,45666910.0,39913963.0
2023,Georgia State,Sun Belt,7.0,6.0,True,24169.81818181818,38838368.0,36803758.0
2005,Georgia Tech,ACC,7.0,5.0,True,0.0,43153707.0,40942114.0
2006,Georgia Tech,ACC,9.0,5.0,True,58231.46153846154,45529338.0,48696486.0
2007,Georgia Tech,ACC,7.0,6.0,True,50763.833333333336,51647705.0,49725966.0
2008,Georgia Tech,ACC,9.0,4.0,True,56000.41666666666,54511968.0,54800099.0
2009,Georgia Tech,ACC,11.0,3.0,True,0.0,55560702.0,56026127.0
2010,Georgia Tech,ACC,6.0,7.0,True,0.0,55359742.0,55221082.0
2011,Georgia Tech,ACC,8.0,5.0,True,0.0,54354409.0,55065262.0
2012,Georgia Tech,ACC,7.0,7.0,True,53485.307692307695,63184163.0,61179789.0
2013,Georgia Tech,ACC,7.0,6.0,True,49449.25,61780812.0,63630961.0
2014,Georgia Tech,ACC,11.0,3.0,True,53336.307692307695,68469538.0,68818267.0
2015,Georgia Tech,ACC,3.0,9.0,False,51707.333333333336,77202758.0,74979077.0
2016,Georgia Tech,ACC,9.0,4.0,True,53073.583333333336,76409293.0,76301805.0
2017,Georgia Tech,ACC,5.0,6.0,False,50104.63636363636,81762024.0,84852123.0
2018,Georgia Tech,ACC,7.0,6.0,True,48150.583333333336,91647068.0,88517077.0
2019,Georgia Tech,ACC,3.0,9.0,False,45237.41666666666,85802112.0,96334831.0
2020,Georgia Tech,ACC,3.0,7.0,False,8757.0,86435447.0,96137132.0
2021,Georgia Tech,ACC,3.0,9.0,False,43324.75,86198858.0,85999316.0
2022,Georgia Tech,ACC,5.0,7.0,False,48023.545454545456,106635094.0,104719581.0
2023,Georgia Tech,ACC,7.0,6.0,True,45092.81818181818,133771921.0,132273817.0
2005,Hawai'i,Western Athletic,5.0,7.0,False,0.0,19878946.0,22036611.0
2006,Hawai'i,Western Athletic,11.0,3.0,True,35825.444444444445,29172055.0,28348930.0
2007,Hawai'i,Western Athletic,12.0,1.0,True,34884.583333333336,30384508.0,30236183.0
2008,Hawai'i,Western Athletic,7.0,7.0,True,39529.53846153846,37427263.0,35133798.0
2009,Hawai'i,Western Athletic,6.0,7.0,False,0.0,33355712.0,35717190.0
2010,Hawai'i,Western Athletic,10.0,4.0,True,0.0,36239991.0,34946092.0
2011,Hawai'i,Western Athletic,6.0,7.0,False,0.0,36801458.0,36344952.0
2012,Hawai'i,Mountain West,3.0,9.0,False,38253.5,37879740.0,40319775.0
2013,Hawai'i,Mountain West,1.0,11.0,False,28090.58333333333,37017100.0,40357387.0
2014,Hawai'i,Mountain West,4.0,9.0,False,24935.0,40989898.0,43086528.0
2015,Hawai'i,Mountain West,3.0,10.0,False,34496.230769230766,43116142.0,47061787.0
2016,Hawai'i,Mountain West,7.0,7.0,True,37251.769230769234,44127115.0,47481543.0
2017,Hawai'i,Mountain West,3.0,9.0,False,23028.5,47780885.0,48984980.0
2018,Hawai'i,Mountain West,8.0,6.0,True,28236.46153846154,46395281.0,48311442.0
2019,Hawai'i,Mountain West,10.0,5.0,True,26187.92857142857,48399854.0,51340094.0
2020,Hawai'i,Mountain West,5.0,4.0,True,779.0,46244423.0,49033909.0
2021,Hawai'i,Mountain West,6.0,7.0,False,12583.23076923077,44641605.0,41150162.0
2022,Hawai'i,Mountain West,3.0,10.0,False,23701.08333333333,49422827.0,48029141.0
2023,Hawai'i,Mountain West,5.0,8.0,False,17366.76923076923,53867030.0,52696666.0
2005,Houston,Conference USA,6.0,6.0,True,2797.090909090909,22648933.0,22677457.0
2006,Houston,Conference USA,10.0,4.0,True,23672.846153846152,15700572.0,26029167.0
2007,Houston,Conference USA,8.0,5.0,True,30747.75,19777339.0,28602628.0
2008,Houston,Conference USA,8.0,5.0,True,23084.58333333333,30988450.0,30988450.0
2009,Houston,Conference USA,10.0,4.0,True,0.0,31341925.0,31341925.0
2010,Houston,Conference USA,5.0,7.0,False,0.0,33034483.0,33034483.0
2011,Houston,Conference USA,13.0,1.0,True,0.0,34614033.0,33450817.0
2012,Houston,Conference USA,5.0,7.0,False,29826.25,36652492.0,36395207.0
2013,Houston,American Athletic,8.0,5.0,True,32506.25,42024887.0,42664044.0
2014,Houston,American Athletic,8.0,5.0,True,29868.75,40310724.0,39486396.0
2015,Houston,American Athletic,13.0,1.0,True,31980.92307692308,44815210.0,45437942.0
2016,Houston,American Athletic,9.0,4.0,True,39501.41666666666,51469297.0,52204566.0
2017,Houston,American Athletic,7.0,5.0,True,30308.81818181818,57174900.0,55277308.0
2018,Houston,American Athletic,8.0,5.0,True,31176.83333333333,55142417.0,57106913.0
2019,Houston,American Athletic,4.0,8.0,False,31753.75,75049955.0,73678308.0
2020,Houston,American Athletic,3.0,5.0,True,6889.571428571428,67382981.0,66370147.0
2021,Houston,American Athletic,12.0,2.0,True,24906.30769230769,66823577.0,67196088.0
2022,Houston,American Athletic,8.0,5.0,True,30786.58333333333,78088086.0,73806404.0
2023,Houston,Big 12,4.0,8.0,False,38799.0,82604513.0,81517354.0
2005,Idaho,Western Athletic,2.0,9.0,False,0.0,11864245.0,11835622.0
2006,Idaho,Western Athletic,4.0,8.0,False,23582.454545454544,13433114.0,13269969.0
2007,Idaho,Western Athletic,1.0,11.0,False,22214.416666666668,14982205.0,14698552.0
2008,Idaho,Western Athletic,2.0,10.0,False,21628.0,15208208.0,15610442.0
2009,Idaho,Western Athletic,8.0,5.0,True,0.0,15126899.0,15618281.0
2010,Idaho,Western Athletic,6.0,7.0,False,0.0,15683183.0,15658532.0
2011,Idaho,Western Athletic,2.0,10.0,False,0.0,17545304.0,17314106.0
2012,Idaho,Western Athletic,1.0,11.0,False,26771.916666666668,18584216.0,18371540.0
2013,Idaho,FBS Independents,1.0,11.0,False,26134.75,19593192.0,19719585.0
2014,Idaho,Sun Belt,1.0,10.0,False,19722.36363636364,18920916.0,18920334.0
2015,Idaho,Sun Belt,4.0,8.0,False,24875.25,19950964.0,19248132.0
2016,Idaho,Sun Belt,9.0,4.0,True,18623.416666666668,22103144.0,21646645.0
2017,Idaho,Sun Belt,4.0,8.0,False,17131.5,23825002.0,22817285.0
2018,Idaho,Big Sky,4.0,7.0,False,56318.5,20468275.0,21581532.0
2019,Idaho,Big Sky,5.0,7.0,False,66670.5,19200033.0,20728355.0
2020,Idaho,Big Sky,2.0,4.0,False,,18209834.0,20126708.0
2021,Idaho,Big Sky,4.0,7.0,False,37107.0,13732065.0,16778231.0
2022,Idaho,Big Sky,7.0,5.0,False,36009.0,23013225.0,22289958.0
2023,Idaho,Big Sky,9.0,4.0,True,28331.0,22190857.0,23141396.0
2005,Illinois,Big Ten,2.0,9.0,False,0.0,48396763.0,47915540.0
2006,Illinois,Big Ten,2.0,10.0,False,42981.0,50744576.0,50576001.0
2007,Illinois,Big Ten,9.0,4.0,True,54077.5,57838408.0,51714927.0
2008,Illinois,Big Ten,5.0,7.0,False,65194.333333333336,67818403.0,63458807.0
2009,Illinois,Big Ten,3.0,9.0,False,0.0,75431185.0,73643345.0
2010,Illinois,Big Ten,7.0,6.0,True,0.0,75189489.0,71957222.0
2011,Illinois,Big Ten,7.0,6.0,True,0.0,77863883.0,73476818.0
2012,Illinois,Big Ten,2.0,10.0,False,58485.16666666666,78708250.0,76740736.0
2013,Illinois,Big Ten,4.0,8.0,False,51812.333333333336,79725521.0,78667480.0
2014,Illinois,Big Ten,6.0,7.0,True,55238.41666666666,80848569.0,83112351.0
2015,Illinois,Big Ten,5.0,7.0,False,48306.66666666666,85998659.0,87163188.0
2016,Illinois,Big Ten,3.0,9.0,False,56082.0,96249500.0,102912910.0
2017,Illinois,Big Ten,2.0,10.0,False,48154.41666666666,97447731.0,100739817.0
2018,Illinois,Big Ten,4.0,8.0,False,42574.75,115132186.0,108696540.0
2019,Illinois,Big Ten,6.0,7.0,True,41582.91666666666,118565501.0,120168951.0
2020,Illinois,Big Ten,2.0,6.0,False,322.0,122566259.0,121638435.0
2021,Illinois,Big Ten,5.0,7.0,False,45985.16666666666,98811643.0,102006085.0
2022,Illinois,Big Ten,8.0,5.0,True,53505.5,145735330.0,129119247.0
2023,Illinois,Big Ten,5.0,7.0,False,50078.25,148345919.0,152809698.0
2005,Indiana,Big Ten,4.0,7.0,False,22081.727272727272,37968912.0,38805232.0
2006,Indiana,Big Ten,5.0,7.0,False,42520.333333333336,41508845.0,41434508.0
2007,Indiana,Big Ten,7.0,6.0,True,44748.16666666666,46425225.0,43212993.0
2008,Indiana,Big Ten,3.0,9.0,False,44099.0,57155333.0,50920826.0
2009,Indiana,Big Ten,4.0,8.0,False,0.0,61136237.0,55652636.0
2010,Indiana,Big Ten,5.0,7.0,False,0.0,69287811.0,65796415.0
2011,Indiana,Big Ten,1.0,11.0,False,0.0,71017355.0,69314511.0
2012,Indiana,Big Ten,4.0,8.0,False,44388.66666666666,72973954.0,69915060.0
2013,Indiana,Big Ten,5.0,7.0,False,60081.66666666666,76660265.0,72597053.0
2014,Indiana,Big Ten,4.0,8.0,False,55061.0,84668779.0,80386732.0
2015,Indiana,Big Ten,6.0,7.0,True,47963.083333333336,88362421.0,88330530.0
2016,Indiana,Big Ten,6.0,7.0,True,50645.75,95216762.0,94190256.0
2017,Indiana,Big Ten,5.0,7.0,False,50983.75,106139192.0,106131819.0
2018,Indiana,Big Ten,5.0,7.0,False,48622.91666666666,122933136.0,116277652.0
2019,Indiana,Big Ten,8.0,5.0,True,51961.0,127832628.0,114822135.0
2020,Indiana,Big Ten,6.0,2.0,True,566.7142857142857,121181042.0,120289560.0
2021,Indiana,Big Ten,2.0,10.0,False,57029.66666666666,78083857.0,102582541.0
2022,Indiana,Big Ten,4.0,8.0,False,54740.833333333336,166761471.0,132392596.0
2023,Indiana,Big Ten,3.0,9.0,False,59272.9,144706586.0,139087323.0
2005,Iowa,Big Ten,7.0,5.0,True,6416.818181818182,61676257.0,54982658.0
2006,Iowa,Big Ten,6.0,7.0,True,65067.91666666666,73321227.0,59224861.0
2007,Iowa,Big Ten,6.0,6.0,False,67866.91666666667,80832070.0,70469589.0
2008,Iowa,Big Ten,9.0,4.0,True,64950.16666666666,81515865.0,71602594.0
2009,Iowa,Big Ten,11.0,2.0,True,0.0,79971143.0,71116911.0
2010,Iowa,Big Ten,8.0,5.0,True,0.0,88735093.0,74438196.0
2011,Iowa,Big Ten,7.0,6.0,True,0.0,93353561.0,88057486.0
2012,Iowa,Big Ten,4.0,8.0,False,67785.5,97902974.0,104658746.0
2013,Iowa,Big Ten,8.0,5.0,True,67968.0,107153782.0,106969227.0
2014,Iowa,Big Ten,7.0,6.0,True,53308.583333333336,105958954.0,102278847.0
2015,Iowa,Big Ten,12.0,2.0,True,63931.84615384616,105969545.0,109214651.0
2016,Iowa,Big Ten,8.0,5.0,True,57978.0,113249020.0,116168740.0
2017,Iowa,Big Ten,8.0,5.0,True,67477.66666666667,130681467.0,130219211.0
2018,Iowa,Big Ten,9.0,4.0,True,63690.5,137093027.0,131467820.0
2019,Iowa,Big Ten,10.0,3.0,True,70089.75,151976026.0,147632275.0
2020,Iowa,Big Ten,6.0,2.0,False,1229.125,145636544.0,149161886.0
2021,Iowa,Big Ten,10.0,4.0,True,64656.69230769231,74789832.0,116755350.0
2022,Iowa,Big Ten,8.0,5.0,True,66230.08333333333,151483092.0,151144861.0
2023,Iowa,Big Ten,10.0,4.0,True,73942.5,167417806.0,160302475.0
2005,Iowa State,Big 12,7.0,5.0,True,6278.636363636364,28913010.0,28227582.0
2006,Iowa State,Big 12,4.0,8.0,False,54557.583333333336,32437040.0,33341962.0
2007,Iowa State,Big 12,3.0,9.0,False,49762.41666666666,32675181.0,42123353.0
2008,Iowa State,Big 12,2.0,10.0,False,45474.583333333336,38621346.0,38642012.0
2009,Iowa State,Big 12,7.0,6.0,True,0.0,45813189.0,45768048.0
2010,Iowa State,Big 12,5.0,7.0,False,0.0,46871554.0,46656014.0
2011,Iowa State,Big 12,6.0,7.0,True,0.0,48591617.0,48469929.0
2012,Iowa State,Big 12,6.0,7.0,True,58191.583333333336,55151017.0,55113720.0
2013,Iowa State,Big 12,3.0,9.0,False,52295.583333333336,62357761.0,62224194.0
2014,Iowa State,Big 12,2.0,10.0,False,50359.75,68170381.0,67967712.0
2015,Iowa State,Big 12,3.0,9.0,False,53579.833333333336,75283516.0,75209309.0
2016,Iowa State,Big 12,3.0,9.0,False,54787.5,78355500.0,78279309.0
2017,Iowa State,Big 12,8.0,5.0,True,54958.25,82659447.0,82565176.0
2018,Iowa State,Big 12,8.0,5.0,True,56251.833333333336,88753664.0,88670048.0
2019,Iowa State,Big 12,7.0,6.0,True,58133.5,95411884.0,95315376.0
2020,Iowa State,Big 12,9.0,3.0,True,12646.7,90326274.0,90285606.0
2021,Iowa State,Big 12,7.0,6.0,True,55481.0,72046100.0,89008720.0
2022,Iowa State,Big 12,4.0,8.0,False,59860.083333333336,111287492.0,111227458.0
2023,Iowa State,Big 12,7.0,6.0,True,55218.583333333336,115584170.0,115523596.0
2005,Kansas,Big 12,7.0,5.0,True,0.0,50826019.0,40761354.0
2006,Kansas,Big 12,6.0,6.0,False,45679.91666666666,63643158.0,47862244.0
2007,Kansas,Big 12,12.0,1.0,True,53006.75,64153545.0,58763135.0
2008,Kansas,Big 12,8.0,5.0,True,59400.25,82976047.0,65748366.0
2009,Kansas,Big 12,5.0,7.0,False,0.0,69998204.0,67643124.0
2010,Kansas,Big 12,3.0,9.0,False,0.0,70548520.0,69241375.0
2011,Kansas,Big 12,2.0,10.0,False,0.0,74850203.0,71992158.0
2012,Kansas,Big 12,1.0,11.0,False,45535.333333333336,70228913.0,78973441.0
2013,Kansas,Big 12,3.0,9.0,False,44143.083333333336,93114168.0,79720036.0
2014,Kansas,Big 12,3.0,9.0,False,43485.083333333336,97681066.0,90056511.0
2015,Kansas,Big 12,0.0,12.0,False,38265.91666666666,91860673.0,92207877.0
2016,Kansas,Big 12,2.0,10.0,False,40732.5,90658829.0,85703264.0
2017,Kansas,Big 12,1.0,11.0,False,38371.25,95251461.0,94709233.0
2018,Kansas,Big 12,3.0,9.0,False,34970.833333333336,106307326.0,104108072.0
2019,Kansas,Big 12,3.0,9.0,False,43547.91666666666,121553307.0,108881800.0
2020,Kansas,Big 12,0.0,9.0,False,9437.333333333334,102707575.0,102693011.0
2021,Kansas,Big 12,2.0,10.0,False,36419.66666666666,92325635.0,94140743.0
2022,Kansas,Big 12,6.0,7.0,True,48182.333333333336,118020175.0,108696078.0
2023,Kansas,Big 12,9.0,4.0,True,51887.91666666666,128398186.0,124210259.0
2005,Kansas State,Big 12,5.0,6.0,False,0.0,39884219.0,34394621.0
2006,Kansas State,Big 12,7.0,6.0,True,46956.083333333336,43411343.0,34834467.0
2007,Kansas State,Big 12,5.0,7.0,False,55184.25,49277378.0,40548866.0
2008,Kansas State,Big 12,5.0,7.0,False,50823.5,49113706.0,41362747.0
2009,Kansas State,Big 12,6.0,6.0,False,0.0,48417050.0,51237044.0
2010,Kansas State,Big 12,7.0,6.0,True,0.0,53436790.0,42337682.0
2011,Kansas State,Big 12,10.0,3.0,True,0.0,69947834.0,46549248.0
2012,Kansas State,Big 12,11.0,2.0,True,53286.75,63271615.0,50994785.0
2013,Kansas State,Big 12,8.0,5.0,True,56283.583333333336,70457283.0,59325573.0
2014,Kansas State,Big 12,9.0,4.0,True,50025.25,72935044.0,62576606.0
2015,Kansas State,Big 12,6.0,7.0,True,52058.16666666666,75323278.0,67316209.0
2016,Kansas State,Big 12,9.0,4.0,True,53708.25,77936664.0,70884496.0
2017,Kansas State,Big 12,8.0,5.0,True,52546.91666666666,86081528.0,73970354.0
2018,Kansas State,Big 12,5.0,7.0,False,52121.66666666666,86911309.0,77633258.0
2019,Kansas State,Big 12,8.0,5.0,True,53911.66666666666,89919822.0,83079244.0
2020,Kansas State,Big 12,4.0,6.0,False,12402.333333333334,86441107.0,79785896.0
2021,Kansas State,Big 12,8.0,5.0,True,46937.16666666666,67602026.0,87729711.0
2022,Kansas State,Big 12,10.0,4.0,True,54234.46153846154,100822204.0,82220606.0
2023,Kansas State,Big 12,9.0,4.0,True,57204.333333333336,102332761.0,95281944.0
2005,Kent State,Mid-American,1.0,10.0,False,566.1818181818181,15712742.0,15223077.0
2006,Kent State,Mid-American,6.0,6.0,False,20123.666666666668,17994644.0,16362203.0
2007,Kent State,Mid-American,3.0,9.0,False,27896.0,17487695.0,16995460.0
2008,Kent State,Mid-American,4.0,8.0,False,15911.583333333334,18106791.0,18891134.0
2009,Kent State,Mid-American,5.0,7.0,False,0.0,17942193.0,17179520.0
2010,Kent State,Mid-American,5.0,7.0,False,0.0,19446680.0,19446680.0
2011,Kent State,Mid-American,5.0,7.0,False,0.0,21448821.0,20756745.0
2012,Kent State,Mid-American,11.0,3.0,True,21917.92307692308,22903668.0,22735640.0
2013,Kent State,Mid-American,4.0,8.0,False,29225.83333333333,26557674.0,27116813.0
2014,Kent State,Mid-American,2.0,9.0,False,22787.90909090909,24932694.0,24392281.0
2015,Kent State,Mid-American,3.0,9.0,False,19605.166666666668,25908848.0,26291980.0
2016,Kent State,Mid-American,3.0,9.0,False,26677.166666666668,26018611.0,28029169.0
2017,Kent State,Mid-American,2.0,10.0,False,23342.166666666668,28837710.0,29504048.0
2018,Kent State,Mid-American,2.0,10.0,False,24751.0,28789819.0,29993310.0
2019,Kent State,Mid-American,7.0,6.0,True,28174.916666666668,29460111.0,29573232.0
2020,Kent State,Mid-American,3.0,1.0,False,375.0,27803078.0,28938118.0
2021,Kent State,Mid-American,7.0,7.0,True,24327.46153846154,19651622.0,21870072.0
2022,Kent State,Mid-American,5.0,7.0,False,29386.33333333333,28605618.0,29613870.0
